week,continent,country,region_weekly_visits,unique_ips_weekly,language_weekly_visits,weekly_most_common_points,top_10_books_weekly,visit_type1_counts,visit_type2_counts,visit_type3_counts,visit_type4_counts
2022-04-18/2022-04-24,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-04-25/2022-05-01,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-05-02/2022-05-08,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-05-09/2022-05-15,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-05-16/2022-05-22,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-05-23/2022-05-29,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-05-30/2022-06-05,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-06-06/2022-06-12,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-06-13/2022-06-19,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-06-20/2022-06-26,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-06-27/2022-07-03,Africa,Democratic Republic of the Congo,1,1,en: 1,-10.7148_25.4667: 1,374056: 1,0,0,0,1
2022-07-04/2022-07-10,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-07-11/2022-07-17,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-07-18/2022-07-24,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-07-25/2022-07-31,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-08-01/2022-08-07,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-08-08/2022-08-14,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-08-15/2022-08-21,Africa,Democratic Republic of the Congo,4,1,en: 4,-4.32758_15.3136: 4,140402: 4,1,1,2,0
2022-08-22/2022-08-28,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-08-29/2022-09-04,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-09-05/2022-09-11,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-09-12/2022-09-18,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-09-19/2022-09-25,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-09-26/2022-10-02,Africa,Democratic Republic of the Congo,0,0,,,,0,0,0,0
2022-02-28/2022-03-06,Africa,Djibouti,0,0,,,,0,0,0,0
2022-03-07/2022-03-13,Africa,Djibouti,0,0,,,,0,0,0,0
2022-03-14/2022-03-20,Africa,Djibouti,0,0,,,,0,0,0,0
2022-03-21/2022-03-27,Africa,Djibouti,0,0,,,,0,0,0,0
2022-03-28/2022-04-03,Africa,Djibouti,0,0,,,,0,0,0,0
2022-04-04/2022-04-10,Africa,Djibouti,0,0,,,,0,0,0,0
2022-04-11/2022-04-17,Africa,Djibouti,0,0,,,,0,0,0,0
2022-04-18/2022-04-24,Africa,Djibouti,0,0,,,,0,0,0,0
2022-04-25/2022-05-01,Africa,Djibouti,1,1,en: 1,11.5264_42.8519: 1,599502: 1,0,0,0,1
2022-05-02/2022-05-08,Africa,Djibouti,0,0,,,,0,0,0,0
2022-05-09/2022-05-15,Africa,Djibouti,0,0,,,,0,0,0,0
2022-05-16/2022-05-22,Africa,Djibouti,0,0,,,,0,0,0,0
2022-05-23/2022-05-29,Africa,Djibouti,0,0,,,,0,0,0,0
2022-05-30/2022-06-05,Africa,Djibouti,0,0,,,,0,0,0,0
2022-06-06/2022-06-12,Africa,Djibouti,0,0,,,,0,0,0,0
2022-06-13/2022-06-19,Africa,Djibouti,0,0,,,,0,0,0,0
2022-06-20/2022-06-26,Africa,Djibouti,0,0,,,,0,0,0,0
2022-06-27/2022-07-03,Africa,Djibouti,0,0,,,,0,0,0,0
2022-07-04/2022-07-10,Africa,Djibouti,0,0,,,,0,0,0,0
2022-07-11/2022-07-17,Africa,Djibouti,0,0,,,,0,0,0,0
2022-07-18/2022-07-24,Africa,Djibouti,0,0,,,,0,0,0,0
2022-07-25/2022-07-31,Africa,Djibouti,0,0,,,,0,0,0,0
2022-08-01/2022-08-07,Africa,Djibouti,0,0,,,,0,0,0,0
2022-08-08/2022-08-14,Africa,Djibouti,0,0,,,,0,0,0,0
2022-08-15/2022-08-21,Africa,Djibouti,0,0,,,,0,0,0,0
2022-08-22/2022-08-28,Africa,Djibouti,0,0,,,,0,0,0,0
2022-08-29/2022-09-04,Africa,Djibouti,0,0,,,,0,0,0,0
2022-09-05/2022-09-11,Africa,Djibouti,0,0,,,,0,0,0,0
2022-09-12/2022-09-18,Africa,Djibouti,0,0,,,,0,0,0,0
2022-09-19/2022-09-25,Africa,Djibouti,0,0,,,,0,0,0,0
2022-09-26/2022-10-02,Africa,Djibouti,0,0,,,,0,0,0,0
2022-02-28/2022-03-06,Africa,Egypt,0,0,,,,0,0,0,0
2022-03-07/2022-03-13,Africa,Egypt,3,3,jp: 2; tw: 1,30.0384_31.2098: 2,278000: 1; 286843: 1; 222828: 1,0,0,0,3
2022-03-14/2022-03-20,Africa,Egypt,4,2,en: 4,30.0626_31.2497: 2,573705: 2; 355285: 2,2,2,0,0
2022-03-21/2022-03-27,Africa,Egypt,0,0,,,,0,0,0,0
2022-03-28/2022-04-03,Africa,Egypt,2,2,jp: 1; en: 1,30.0384_31.2098: 1,575733: 1; 286087: 1,0,0,0,2
2022-04-04/2022-04-10,Africa,Egypt,1,1,jp: 1,30.0384_31.2098: 1,545948: 1,0,0,0,1
2022-04-11/2022-04-17,Africa,Egypt,0,0,,,,0,0,0,0
2022-04-18/2022-04-24,Africa,Egypt,0,0,,,,0,0,0,0
2022-04-25/2022-05-01,Africa,Egypt,0,0,,,,0,0,0,0
2022-05-02/2022-05-08,Africa,Egypt,0,0,,,,0,0,0,0
2022-05-09/2022-05-15,Africa,Egypt,1,1,en: 1,30.0384_31.2098: 1,391027: 1,0,0,0,1
2022-05-16/2022-05-22,Africa,Egypt,1,1,en: 1,27.5564_30.8106: 1,125181: 1,0,0,0,1
2022-05-23/2022-05-29,Africa,Egypt,0,0,,,,0,0,0,0
2022-05-30/2022-06-05,Africa,Egypt,0,0,,,,0,0,0,0
